City,State,Station_Count,Population_Density,EV_Vehicle_Density
Andalusia,AL,3,3334,37
Anderson,CA,4,3891,86
Anderson,IN,2,1056,173
Anderson,SC,14,4167,18
Anderson,TX,1,260,184
Andes,NY,1,4593,85
Andover,CT,1,1400,254
Andover,KS,1,4087,131
Andover,MA,19,1627,194
Andover,MN,1,1318,41
Andover,NH,2,4596,259
Andrews AFB,MD,1,4835,66
Ange-Gardien,QC,3,3204,153
Angel Fire,NM,3,2835,93
Angelica,NY,1,4655,65
Angels Camp,CA,1,1054,288
Angola,IN,5,4665,282
Angola,NY,3,3546,175
Angus,ON,1,1145,167
Angwin,CA,1,1793,258
Anjou,QC,8,3536,195
Ankeny,IA,8,662,87
Ann Arbo,MI,1,2585,31
Ann Arbor,MI,112,3454,117
"Ann Arbor, MI",MI,1,325,282
Annadale,NJ,1,4993,261
Annandale,MN,1,1059,24
Annandale,VA,4,4648,169
Annandale-on-Hudson,NY,5,3167,214
Annapolis,CA,1,915,122
Annapolis,MD,43,4854,177
Annapolis Junction,MD,20,4742,262
Annapolis Royal,NS,1,3220,195
Anniston,AL,7,116,236
Anoka,MN,2,1343,25
Ansnorveldt,ON,1,2305,165
Ansonia,CT,5,2624,120
Ansted,WV,2,1169,10
Antelope,CA,1,3544,50
Anthony,NM,1,2665,57
Anthony,TX,2,1160,117
Antigo,WI,1,2427,170
Antigonish,NS,14,3520,170
Antioch,CA,19,401,137
Antioch,IL,3,4376,219
Antioch,TN,4,706,160
Antlers,OK,1,3270,264
Anza,CA,5,799,227
Apache Junction,AZ,9,1239,39
Apalachicola,FL,2,290,54
Apex,NC,12,2400,89
Apollo Beach,FL,3,1080,48
Apopka,FL,10,3075,249
Apple Valley,CA,4,1284,54
Apple Valley,MN,2,3427,87
Appleton,WI,25,3494,297
Appleton City,MO,1,227,289
Aptos,CA,5,2165,125
Aquebogue,NY,1,1916,278
Aquinnah,MA,2,669,62
Aransas Pass,TX,2,1995,77
Arborg,MB,1,2833,191
Arbovale,WV,1,3963,43
Arbutus,MD,1,4821,293
Arcade,NY,1,4114,258
Arcadia,CA,18,3001,120
Arcadia,FL,3,1786,103
Arcadia,OK,1,3109,188
Arcadia,WI,3,254,56
Arcata,CA,15,2637,291
Archbold,OH,2,1509,101
Archdale,NC,4,4157,221
Archer Heights,IL,1,884,84
Arco,ID,1,3275,211
Arcola,IL,1,4441,220
Arden,NC,7,2906,143
Arden Hills,MN,1,637,75
Ardmore,OK,11,1941,289
Ardmore,PA,4,2555,37
Arecibo,PR,1,624,126
Argonne,IL,1,3050,123
Arkadelphia,AR,3,4231,84
Arkansas City,KS,1,4880,211
Arkville,NY,1,4215,68
Arleta,CA,1,2468,24
Arlington,MA,13,3947,240
Arlington,NY,6,4595,114
Arlington,OR,2,2801,174
Arlington,TX,59,1071,208
Arlington,VA,244,1266,44
Arlington,VT,2,2874,171
Arlington,WA,16,2082,254
Arlington,WI,1,953,296
Arlington  Heights,IL,2,4246,28
Arlington Heights,IL,12,3836,289
Arlington Heights,OH,1,3869,191
Armonk,NY,1,674,156
Armstrong,BC,2,3361,185
Arnold,CA,2,1248,172
Arnold,MD,4,1815,184
Arnold,MO,1,4877,56
Arnprior,ON,5,3954,265
Arroyo Grande,CA,12,2591,183
Artesia,CA,1,2760,112
Artesia,NM,3,3224,130
Arthur,ON,2,3151,154
Arundel,ME,1,104,51
Arundel,QC,2,4969,38
Arvada,CO,13,976,282
Arvin,CA,10,1091,23
Asbestos,QC,1,4242,198
Asbury,MO,1,4464,192
Asbury Park,NJ,3,4565,45
Ascot Corner,QC,1,735,46
Ash Flat,AR,1,1793,23
Ashburn,GA,1,1782,132
Ashburn,VA,50,4852,92
Ashburnham,MA,2,219,168
Ashcroft,BC,4,930,111
Asheboro,NC,14,3775,92
Ashern,MB,1,1469,53
Asheville,NC,74,840,77
Ashfiled,MA,1,216,57
Ashford,CT,1,2938,66
Ashford,WA,4,1250,84
Ashkum,IL,1,2031,31
Ashland,KY,1,1112,141
Ashland,MA,2,1764,276
Ashland,NH,1,1181,296
Ashland,OH,2,4829,129
Ashland,OR,24,612,255
Ashland,VA,16,2949,65
Ashland,WI,1,659,47
Ashland City,TN,1,3772,254
Ashton,ID,2,4683,30
Ashville,NC,1,3443,119
Ashville,OH,1,4170,103
Ashwaubenon,WI,4,4899,145
Aspen,CO,42,1570,240
Assiniboia,SK,2,680,17
Astoira,OR,1,2394,299
Aston,PA,2,3247,260
Aston-Jonction,QC,1,4349,96
Astoria,NY,9,1779,213
Astoria,OR,10,3606,228
AtWater,CA,1,2844,250
Atascadero,CA,13,3456,267
Atchison,KS,2,4145,118
Atco,NJ,1,1343,265
Athabasca,AB,1,3218,291
Athena,OR,1,2241,229
Athens,AL,11,3159,92
Athens,GA,39,4648,116
Athens,NY,2,3059,78
Athens,OH,9,2365,106
Athens,TN,4,2579,221
Athens,TX,2,4746,295
Atherton,CA,5,1735,246
Athol,MA,6,1857,17
Atholville,NB,1,4552,198
Atikokan,ON,2,2170,90
Atkins,VA,1,2949,117
Atlanta,AL,1,3351,76
Atlanta,GA,797,3830,183
Atlanta,IL,3,2589,52
Atlanta,MI,1,1731,196
Atlantic Beach,NY,1,2916,209
Atlantic City,NJ,15,1115,48
Atlantic Highlands,NJ,4,1448,229
Atlin,BC,1,4711,13
Atmore,AL,2,3187,130
Atoka,OK,1,2939,86
Atoka,TN,2,435,188
Attica,NY,1,4692,142
Attica,OH,4,995,238
Attleboro,MA,15,3646,285
Atwater,CA,4,951,161
Atwater,MN,1,1787,173
Au Sable Charter Township,MI,1,2031,299
Aubrey,TX,1,3846,118
Auburn,AL,30,2527,135
Auburn,CA,35,1668,249
Auburn,IN,3,4100,155
Auburn,MA,13,2838,261
Auburn,ME,13,3598,192
Auburn,NE,2,4013,81
Auburn,NY,12,1166,228
Auburn,WA,31,4480,216
Auburn Hills,MI,24,2544,182
Auclair,QC,1,4207,150
Augusta,GA,39,3473,281
Augusta,ME,23,4069,223
Augusta,MO,1,2646,278
Augusta,NJ,1,853,29
Aulac,NB,2,2182,75
Aulander,NC,1,2874,156
Aumond,QC,1,2996,174
Aurora,CO,81,4285,15
Aurora,IL,20,875,23
Aurora,MO,1,1725,141
Aurora,NE,3,3169,252
Aurora,NY,1,517,240
Aurora,OH,7,214,237
Aurora,ON,23,716,171
Aurora,OR,1,4074,292
Aurora,WA,1,3367,272
Austell,GA,5,925,140
Austin,AR,1,1616,234
Austin,MN,15,3246,267
Austin,NV,1,512,243
Austin,TX,739,828,33
Austinburg,OH,3,3448,280
Austintown,OH,1,2908,104
Avalon,NJ,2,775,151
Avenal,CA,3,3565,191
Avenel,NJ,3,2604,215
Aventura,FL,39,3067,90
Aventure,FL,1,2886,283
Averill Park,NY,1,1222,285
Avila Beach,CA,3,4179,217
Avoca,IA,1,1671,48
Avon,CO,28,2243,297
Avon,CT,7,1787,133
Avon,IN,2,4232,292
Avon,MA,2,3951,189
Avon,NC,3,3540,106
Avon,NY,5,3866,200
Avon,OH,5,2426,83
Avon Lake,OH,3,3014,282
Avon Park,FL,3,4052,58
Avondale,AZ,24,695,219
Avondale,LA,1,828,125
Avondale,PA,1,1465,32
Avondale Estates,GA,1,4592,107
Avonlea,SK,1,798,199
Ayer,MA,11,495,191
Ayer's Cliff,QC,2,4271,157
Aylmer,ON,3,4460,32
Ayr,ON,1,2602,114
Ayton,ON,1,1919,172
Azle,TX,1,817,76
Aztec,NM,2,2882,299
Azusa,CA,13,3677,298
BARTLESVILLE,OK,1,243,55
BAY CITY,TX,1,3240,90
BELLFLOWER,CA,3,4591,156
BELLINGHAM,WA,1,3038,231
BELVIDERE,IL,1,3736,24
BEMIDJI,MN,1,3322,130
BEND,OR,1,1267,87
BLAINVILLE,QC,2,2716,250
BLOOMER,WI,1,1162,27
BLOOMINGDALE,IL,1,2256,265
BLOOMINGTON,IL,1,3082,286
BOULDER,CO,1,3394,36
BOWLING GREEN,FL,1,4829,11
BOWLING GREEN,KY,1,1256,248
BOZEMAN,MT,1,832,22
BRAMPTON,ON,1,4430,193
BRANDON,MB,1,4946,203
BREEZEWOOD,PA,1,1053,65
BRENHAM,TX,1,2639,239
BROUSSARD,LA,1,3424,37
BUFFALO GROVE,IL,1,3401,80
BURLINGTON,NC,1,1642,219
BURLINGTON,WI,1,1291,193
BWI Airport,MD,2,3093,50
Babb,MT,1,2781,269
Babcock Ranch,FL,2,1317,93
Babylon,NY,3,1640,55
Bad Axe,MI,3,3336,168
Baddeck,NS,1,2486,16
Baden,ON,5,3819,145
Baden,PA,2,1488,192
Badger,NL,1,1956,206
Baie St-Paul,QC,1,1465,181
Baie Ste-Catherine,QC,1,599,285
Baie des Sables,QC,1,1780,87
Baie-Comeau,QC,13,610,187
Baie-Saint-Paul,QC,5,4412,36
Baie-St-Paul,QC,3,1424,129
Baie-St.-Paul,QC,5,1255,290
Baie-Trinité,QC,2,1927,205
Baie-d'Urfé,QC,4,3241,286
Baie-du-Febvre,QC,1,3586,27
Baie-johan-Beetz,QC,1,1910,280
Bailey,CO,2,3023,62
Baileys Harbor,WI,2,2314,61
Baileyville,ME,1,4286,225
Bainbridge,GA,2,813,81
Bainbridge Island,WA,7,3702,37
Bainsville,ON,1,4234,261
Baiting Hollow,NY,2,3622,44
Baker,CA,6,4368,210
Baker,NV,1,4848,258
Baker City,OR,2,4949,108
Bakerfield,CA,1,1343,149
Bakersfield,CA,133,3809,92
Bakersville,NC,1,1181,57
Bal Harbor,FL,1,555,287
Bal Harbour,FL,3,994,257
Bala,ON,1,1484,186
Bala Cynwyd,PA,5,2058,61
Balch Springs,TX,1,3172,88
Balcones Heights,TX,3,2096,73
Baldswinsville,NY,1,4385,17
Baldwin,FL,1,604,223
Baldwin,MI,2,1314,34
Baldwin,WI,3,1631,265
Baldwin Park,CA,11,3540,252
Baldwin Place,NY,1,923,207
Baldwinsville,NY,29,1028,103
Balfour,BC,1,233,216
Ball Ground,GA,1,2205,24
Ballinger,TX,1,3727,187
Ballston,NY,3,4880,84
Ballston Lake,NY,1,1952,113
Ballston Spa,NY,39,4275,177
Ballwin,MO,7,3033,124
Bally,PA,1,3384,48
Baltimore,MD,282,4398,282
Baltimore,ON,1,2911,144
Bamberg,SC,1,1350,241
Bancroft,ON,3,3612,48
Bandera,TX,4,1356,56
Bandon,OR,8,3476,45
Banff,AB,12,3586,104
Bangor,ME,18,3684,22
Banks,OR,2,1496,155
Banner Elk,NC,3,3737,74
Banning,CA,6,3430,237
Bannockburn,IL,1,2803,251
Bar Harbor,ME,14,570,17
Baraboo,WI,4,1453,52
Barboursville,WV,2,2883,253
Bardonia,NY,4,2931,190
Bardstown,KY,6,457,94
Barnard,VT,2,3119,164
Barnegat,NJ,1,767,284
Barnstable,MA,30,4568,32
Barnston Ouest,QC,1,1245,124
Barnwell,SC,1,4285,108
Barraute,QC,1,3819,113
Barre,MA,1,2845,60
Barre,VT,10,639,121
Barrhaven,ON,1,2879,253
Barrhead,AB,1,4236,178
Barrie,ON,43,4935,81
Barrington,IL,18,3875,148
Barrington,RI,5,2608,240
Barrière,BC,1,2879,248
Barron,WI,2,1024,262
Barry's Bay,ON,1,3056,58
Barstow,CA,22,1681,81
Bartlesville,OK,4,3424,272
Bartlett,IL,9,4585,231
Bartlett,NH,3,355,86
Bartlett,TN,3,4904,71
Bartonsville,PA,2,1938,166
Bartonville,IL,2,2044,134
Bartonville,TX,1,109,238
Bartow,FL,5,2971,170
Basalt,CO,13,897,38
Basking Ridge,NJ,11,1115,123
Bass Harbor,ME,1,1924,88
Bassano,AB,1,4569,32
Bassett,VA,1,3236,115
Bassin,QC,1,2293,140
Bastrop,TX,6,323,182
Batavia,IL,1,4258,273
Batavia,NY,14,4025,294
Batavia,OH,6,4884,11
Batchawana Bay,ON,1,4100,242
Batesville,AR,8,1733,260
Batesville,IN,1,2252,117
Batesville,MS,3,610,285
Bath,ME,3,484,189
Bath,NY,5,504,222
Bathurst,NB,8,4713,81
Batiscan,QC,2,4671,292
Baton Rouge,LA,50,2100,184
Battle Creek,MI,16,2856,132
Battle Ground,WA,4,1768,236
Battle Mountain,NV,2,1560,92
Battleford,SK,1,3736,262
Baxley,GA,1,2824,155
Baxter,MN,5,4909,129
Baxter,TN,2,4278,74
Baxter Springs,KS,1,2148,290
Bay City,MI,14,4246,292
Bay City,TX,2,4880,115
Bay Harbor,MI,1,816,116
Bay Harbor Islands,FL,4,4644,45
Bay Lake,FL,3,4683,156
Bay Minette,AL,3,1923,271
Bay Pines,FL,1,2181,168
Bay Point,CA,2,3519,274
Bay Shore,NY,10,1674,211
Bay St Louis,MS,1,349,164
Bay St. Louis,MS,3,773,22
Bay Village,OH,2,4633,94
Bayamón,PR,1,2265,289
Bayberry,NY,1,870,254
Bayfield,CO,2,4062,18
Bayfield,NB,1,4463,256
Bayfield,ON,2,2084,287
Bayfield,WI,3,1177,247
Bayonne,NJ,2,335,212
Bayport,NY,1,488,256
Bayshore,NY,1,3137,244
Bayside,NY,4,4958,90
Baysville,ON,1,1948,22
Baytown,TX,18,4819,25
Baywood-Los Osos,CA,1,2914,54
Beach Haven,NJ,5,3474,148
Beach Park,IL,1,3378,157
Beachwood,OH,5,1352,245
Beacon,NY,15,4081,200
Beacon Falls,CT,1,4773,110
Beaconsfield,QC,3,2222,114
Bealeton,VA,1,4630,259
Beamsville,ON,5,2250,103
Bean Station,TN,2,4959,229
Bear,DE,4,1429,142
Bear Lake,BC,1,1458,164
Bear Mnt,NY,1,2582,37
Bear Valley,CA,1,4642,291
Beardsley,NB,1,2117,125
Beasley,TX,1,1431,243
Beatrice,NE,5,4444,10
Beatty,NV,2,4361,249
Beauceville,QC,4,1458,67
Beaufort,NC,6,4737,192
Beaufort,SC,7,4954,35
Beauharnois,QC,11,3277,86
Beaumont,AB,3,2228,226
Beaumont,CA,9,2280,271
Beaumont,QC,2,4992,32
Beaumont,TX,10,237,253
Beauport,QC,1,3572,167
Beaupre,QC,2,2932,215
Beaupré,QC,2,3679,96
Beausejour,MB,1,3131,276
Beaver,PA,1,4264,143
Beaver,UT,3,2693,276
Beaver,WV,1,4400,277
Beaver Creek,CO,7,3918,62
Beaver Creek,YT,2,4238,108
Beaver Dam,KY,3,3923,256
Beaver Dam,WI,1,4142,45
Beaver Falls,PA,5,2006,37
Beavercreek,OH,9,860,229
Beaverdam,OH,1,3545,111
Beaverdell,BC,1,999,272
Beaverton,ON,3,4555,280
Beaverton,OR,69,3047,233
Beaverton,RI,1,1819,148
Becancour,QC,5,380,289
Becker,MN,1,3366,295
Becket,MA,2,1987,259
Beckley,WV,4,3366,87
Bedford,IN,2,766,22
Bedford,MA,26,4288,91
Bedford,NH,5,771,18
Bedford,NS,6,2069,222
Bedford,NY,1,4256,57
Bedford,OH,11,3222,58
Bedford,PA,2,4799,49
Bedford,QC,2,4877,289
Bedford,TX,6,4000,235
Bedford,VA,3,623,117
Bedford Heights,OH,3,2493,254
Bedford Hills,NY,5,3217,264
Bedminster,NJ,3,2693,42
Bee Cave,TX,5,2068,32
Beebe,AR,1,1853,63
Beech Island,SC,4,2396,58
Beechville,NS,1,2361,87
Beeville,TX,3,2386,131
Beiseker,AB,1,4302,99
Bel Air,CA,2,2978,202
Bel Air,MD,12,4243,253
Belcamp,MD,3,3744,158
Belchertown,MA,4,4532,155
Belfair,WA,2,2155,150
Belfast,ME,5,4820,295
Belgrade,MT,2,1376,120
Belgrave,ON,1,2866,117
Bell,CA,1,402,290
Bella Coola,BC,1,738,59
Bellaire,MI,1,155,23
Bellaire,TX,1,4921,143
Bellbrook,OH,3,625,85
Belle Chasse,LA,2,4669,93
Belle Mead,NJ,2,4223,167
Belle Plaine,KS,1,2225,295
Belle River,ON,2,3387,103
Belle River,PE,1,464,103
Belle Vernon,PA,3,4721,66
Belleaire Shore,FL,1,1746,173
Belledune,NB,2,1018,107
Bellefontaine,OH,2,2897,25
Bellefonte,PA,9,1631,87
Bellemont,AZ,1,3445,81
Bellerose,NY,1,2006,279
Belleterre,QC,1,3186,296
Belleview,FL,1,4680,75
Belleville,IL,5,2175,77
Belleville,KS,2,813,202
Belleville,MI,3,1162,64
Belleville,ON,23,2076,177
Belleville,WI,2,1396,34
Bellevue,ID,2,225,140
Bellevue,KY,2,4732,111
Bellevue,NE,5,3696,291
Bellevue,OH,1,3383,272
Bellevue,WA,307,1703,129
Bellflower,CA,18,166,240
Bellingham,MA,2,332,170
Bellingham,WA,83,2256,170
Bellmawr,NJ,3,1269,87
Bellmead,TX,3,2258,47
Bellmore,NY,1,4306,37
Bellville,OH,2,1593,109
Bellvue,CO,2,4818,133
Belmont,CA,3,4107,101
Belmont,MA,7,2572,264
Belmont,NC,5,2760,106
Belmont,NY,2,2839,15
Belmont,OH,1,1861,178
Belmont,ON,2,3614,280
Beloeil,QC,22,2075,117
Beloit,KS,1,2462,56
Beloit,WI,2,976,108
Belpre,OH,1,3912,23
Belton,MO,9,3548,203
Belton,SC,1,1412,166
Belton,TX,4,1560,163
Beltsville,MD,7,2809,124
"Beltsville, Maryland",MD,1,2424,267
Belvedere,CA,3,1833,154
Belvedere Tiburon,CA,7,1705,19
Belvidere,IL,6,2663,223
Belville,NC,1,3521,242
Bemidji,MN,5,3617,180
Benbrook,TX,4,2497,30
Bend,ON,1,3835,24
Bend,OR,61,2970,135
Benicia,CA,5,1260,222
Bennett,CO,4,4954,197
Bennettsville,SC,1,342,181
Bennington,IN,1,2690,256
Bennington,VT,11,1163,14
Bensalem,PA,15,4424,240
Bensenville,IL,2,2695,210
Benson,AZ,1,1019,158
Benson,NC,2,105,81
Bentleyville,PA,1,567,235
Benton,AR,5,4270,83
Benton,KY,1,103,178
Benton City,WA,1,745,258
Benton Harbor,MI,12,217,289
Bentonville,AR,43,3028,161
Berea,KY,6,2651,233
Berea,OH,3,4389,234
Beresford,NB,4,946,47
Beresford,SD,1,2862,53
Bergen,NY,1,1241,194
Bergenfield,NJ,4,1910,250
Bergeronnes,QC,1,823,219
Berkeley,CA,111,324,32
Berkeley,MO,3,4727,133
Berkeley Heights,NJ,8,4308,95
Berkeley Springs,WV,7,4754,52
Berkley,MI,2,2148,49
Berlin,CT,11,4849,178
Berlin,MD,1,4515,184
Berlin,NH,1,1673,29
Berlin,VT,4,1928,118
Bermuda Run,NC,1,2017,202
Bernalillo,NM,2,4334,253
Bernards,NJ,3,2126,289
Bernardsville,NJ,1,3844,237
Berne,IN,1,1001,45
Berryville,AR,1,4885,54
Berryville,VA,2,2139,37
Berthierville,QC,8,109,163
Berthoud,CO,11,360,32
Bertrand,NB,1,1773,216
Bertsch-Oceanview,CA,1,2319,100
Berwick,LA,1,2160,47
Berwick,NS,12,3813,237
Berwick,PA,1,1719,211
Berwyn,IL,2,420,263
Berwyn,PA,11,1442,47
Berwyn Heights,MD,1,2476,230
Bessemer,AL,12,2932,196
Bessemer,MI,1,2924,52
Bessemer City,NC,1,2094,123
Bethalto,IL,2,3058,269
Bethany,CT,1,2138,14
Bethany,MO,5,3590,77
Bethany Beach,DE,6,3777,237
Bethel,CT,4,1218,132
Bethel,ME,4,1704,182
Bethel,VT,3,4127,162
Bethel Park,PA,6,335,276
Bethesda,MD,66,2069,166
Bethlehem,GA,1,4529,171
Bethlehem,PA,32,2008,223
Bethpage,NY,2,475,35
Bettendorf,IA,10,3630,198
Beverly,MA,38,2735,131
Beverly Hills,CA,60,1670,239
Bevington,IA,1,2660,68
Bewdley,ON,2,3491,105
Bexley,OH,4,3065,271
Biddeford,ME,11,3743,145
Biencourt,QC,2,3950,292
Big Bear Lake,CA,13,972,129
Big Flats,NY,1,1352,34
Big Lake,TX,1,1414,155
Big Pine Key,FL,1,4920,21
Big Pool,MD,2,2998,96
Big Rapids,MI,4,177,118
Big Sky,MT,5,2721,275
Big Spring,TX,2,4327,231
Big Stone Gap,VA,1,700,83
Big Sur,CA,4,1165,111
Big Timber,MT,1,2236,146
Bigfork,MT,1,2549,200
Biggar,SK,1,2443,151
Biglake,TX,1,1963,82
Billerica,MA,12,1418,176
Billings,MT,14,4811,177
Biloxi,MS,11,3697,63
Bingen,WA,3,3862,268
Binger,OK,1,4770,120
Bingham Farms,MI,1,2290,241
Binghamton,NY,26,1092,170
Biola,CA,1,2812,28
Birch Run,MI,3,2292,299
